iter	Passed	Remaining
0	1	1552
1	2	1011
2	2	866
3	3	783
4	3	771
5	4	813
6	5	845
7	6	849
8	7	849
9	8	849
10	9	858
11	10	855
12	11	871
13	12	893
14	13	907
15	14	918
16	15	924
17	16	919
18	17	915
19	18	913
20	19	905
21	20	909
22	21	906
23	22	915
24	23	924
25	25	957
26	26	960
27	27	957
28	28	953
29	29	951
30	30	949
31	31	945
32	32	944
33	33	941
34	34	941
35	35	943
36	36	950
37	37	950
38	38	949
39	39	950
40	41	976
41	42	972
42	43	971
43	44	967
44	45	962
45	46	957
46	46	951
47	47	948
48	48	941
49	49	933
50	49	926
51	50	920
52	51	912
53	51	905
54	52	897
55	52	889
56	53	882
57	53	876
58	54	868
59	55	862
60	55	856
61	56	850
62	56	843
63	57	837
64	57	831
65	58	825
66	58	820
67	59	814
68	59	808
69	60	803
70	60	797
71	61	792
72	61	787
73	62	781
74	62	776
75	63	771
76	63	766
77	64	761
78	64	757
79	65	752
80	65	748
81	66	744
82	66	738
83	67	734
84	67	729
85	68	723
86	68	718
87	68	713
88	69	707
89	69	702
90	69	698
91	70	694
92	70	689
93	71	686
94	71	681
95	71	676
96	72	671
97	72	667
98	72	663
99	73	658
100	73	654
101	74	656
102	75	653
103	75	649
104	75	646
105	76	643
106	76	639
107	76	635
108	77	631
109	77	628
110	77	624
111	78	620
112	78	617
113	78	613
114	79	609
115	79	606
116	79	602
117	80	598
118	80	595
119	80	591
120	80	587
121	81	584
122	81	581
123	81	577
124	82	574
125	82	570
126	82	567
127	82	564
128	83	560
129	83	557
130	83	554
131	83	550
132	83	547
133	84	544
134	84	541
135	84	537
136	84	534
137	85	531
138	85	528
139	85	527
140	86	524
141	86	521
142	86	518
143	86	515
144	86	512
145	87	509
146	87	506
147	87	503
148	87	500
149	87	497
150	87	494
151	88	491
152	88	489
153	88	486
154	88	483
155	88	480
156	89	477
157	89	475
158	89	472
159	89	469
160	89	467
161	89	464
162	89	462
163	90	459
164	90	456
165	90	454
166	90	451
167	90	449
168	91	447
169	91	445
170	91	442
171	91	440
172	91	438
173	91	435
174	91	433
175	92	431
176	92	429
177	92	427
178	92	424
179	92	422
180	92	420
181	93	418
182	93	416
183	93	414
184	93	412
185	93	410
186	93	408
187	94	406
188	94	404
189	94	402
190	94	400
191	94	398
192	94	397
193	95	395
194	95	393
195	95	391
196	95	389
197	95	388
198	95	386
199	96	384
200	96	382
201	96	381
202	96	379
203	96	377
204	96	376
205	97	374
206	97	372
207	97	371
208	97	370
209	98	368
210	98	367
211	98	365
212	98	363
213	98	362
214	98	360
215	98	359
216	99	357
217	99	356
218	99	354
219	99	353
220	99	351
221	99	350
222	100	348
223	100	347
224	100	346
225	100	344
226	100	343
227	100	341
228	101	340
229	101	339
230	101	337
231	101	336
232	101	335
233	101	333
234	102	332
235	102	331
236	102	329
237	102	328
238	102	327
239	102	325
240	103	325
241	103	324
242	103	323
243	103	322
244	104	320
245	104	319
246	104	318
247	104	317
248	104	316
249	104	314
250	105	313
251	105	312
252	105	311
253	105	310
254	105	309
255	105	307
256	106	306
257	106	305
258	106	304
259	106	303
260	106	302
261	107	301
262	107	300
263	107	299
264	107	298
265	107	297
266	107	296
267	108	295
268	108	294
269	108	293
270	108	292
271	108	291
272	109	290
273	109	289
274	109	288
275	109	287
276	109	286
277	109	285
278	110	284
279	110	283
280	110	282
281	110	281
282	110	280
283	110	279
284	110	278
285	111	277
286	111	276
287	111	275
288	111	274
289	111	273
290	111	272
291	112	271
292	112	270
293	112	270
294	112	269
295	112	268
296	113	267
297	113	266
298	113	265
299	113	264
300	113	264
301	113	263
302	114	262
303	114	261
304	114	260
305	114	259
306	114	258
307	114	258
308	115	257
309	115	256
310	115	255
311	115	254
312	115	253
313	115	253
314	116	252
315	116	251
316	116	250
317	116	249
318	116	249
319	116	248
320	117	247
321	117	246
322	117	246
323	117	245
324	117	244
325	117	243
326	118	242
327	118	242
328	118	241
329	118	240
330	118	239
331	118	239
332	119	238
333	119	237
334	119	236
335	119	236
336	119	235
337	119	234
338	120	234
339	120	233
340	120	232
341	120	231
342	120	231
343	120	230
344	121	229
345	121	229
346	121	228
347	121	227
348	121	227
349	121	226
350	122	225
351	122	224
352	122	224
353	122	223
354	122	222
355	122	222
356	123	221
357	123	220
358	123	220
359	123	219
360	123	218
361	123	218
362	124	217
363	124	216
364	124	216
365	124	215
366	124	215
367	124	214
368	125	214
369	125	213
370	125	212
371	125	212
372	125	211
373	126	210
374	126	210
375	126	209
376	126	209
377	126	208
378	126	207
379	127	207
380	127	206
381	127	206
382	127	205
383	127	204
384	127	204
385	128	203
386	128	203
387	128	202
